Host   Node   Slot  Product  Version   Location
  264  11062   4       XCOM    0.00    TORONTO,ON
  265   2221  FF       I2IS    0.00    AUGSBURG,
  266  11042   1       XCOM  300.55    NEW YORK,NY
Host   Node   Slot  Product  Version   Location
  267   2021   1       T2G2    0.00    SAN JOSE,CA
  268   2360  FF       I2IS    7.03    POTOMAC,MD
  268   2360   0        TII  105.34    POTOMAC,MD
  269   2360   2       XCOM  104.03    POTOMAC,MD
  270  11403   1       XCOM  104.03    COLUMBUS,OH
  271   6727   1       XCOM  300.55    DALLAS,TX
  273  11356   0        TII  105.35    ASHEVILLE,NC
  273  11356  FF       I2IS   11.33    ASHEVILLE,NC
  274  11356   1       ISCS    6.40    ASHEVILLE,NC
  275  11357  FF       I2IS    7.03    CAMBRIDGE,MA
  275  11357   0        TII  105.22    CAMBRIDGE,MA
  276  11357   1       ACOM  103.01    CAMBRIDGE,MA
  277   3366  FF       I2IS    7.03    PINE BROOK,NJ
  277   3366   0        TII  105.22    PINE BROOK,NJ
  279   4132  FF       I2IS    7.03    WOOD DALE,IL
  279   4132   0        TII  105.22    WOOD DALE,IL
  280   7030   3       ACOM    2.03    MINNEAPOLIS,MN
  284   4734  FF       I2IS    7.03    RANCHO DOMINQUEZ,CA
  284   4734   0        TII  105.22    RANCHO DOMINQUEZ,CA
  285   2576   3       MSRV  103.03    FAIRFAX,VA
  287   5301  FF       I2IS    7.04    PORTLAND,OR
  287   5301   0        TII  105.22    PORTLAND,OR
  288   4625   1       ACOM  103.01    MENLO PARK,CA
  289  11435   2       XCOM  104.03    BOSTON,MA
  290   2575   1       XCOM  103.01    WASHINGTON,DC
  291   3255   1        PBH  107.05    DETROIT,MI
  292   6466   2       ACOM    2.03    SAIPAN,
  294   3023   1       XCOM  104.03    AGANA,
  295   3200   0        TII  105.34    BALTIMORE,MD
  295   3200  FF       I2IS    7.03    BALTIMORE,MD
  297  12673  FF       I2IS    7.04    BASSERSDORF,
  297  12673   0        TII  105.22    BASSERSDORF,
  298   6656   2       XCOM  104.03    DENVER,CO
  299   7104   0        TII  105.35    HOUSTON,TX
  299   7104  FF       I2IS   11.33    HOUSTON,TX
  301  10227   3        PBH  107.05    ST.-CLOUD,
  302  10067   2       SNAH    3.03    NEW YORK,NY
  303  12215   2       XCOM  104.03    LUBBOCK,TX
  304  10332   1       CMTI  107.04    NEW YORK,NY
  305   5052   2       ACOM    2.03    HONOLULU,HI
  306  10202   1       XCOM    0.00    DORAVILLE,GA
  307   2105   2       ACOM    4.04    SAN JOSE,CA
  308   7225  FF       I2IS    7.03    DENVER,CO
  308   7225   0        TII  105.35    DENVER,CO
  310   7423  FF       I2IS    7.04    DENVER,CO
  310   7423   0        TII  105.22    DENVER,CO
  311   6362   1       ACOM  103.01    GAITHERSBURG,MD
  315   7415   1       SNAH    3.03    PHOENIX,AZ
  316  11715   1       CMTI  107.04    PHOENIX,AZ
  317  11715   2       MSRV  101.12    PHOENIX,AZ
  320   5600   3       XCOM  104.03    SPRINGFIELD,MA
  321   3573  FF        ATC    0.00    LONDON,
  322   3111   1       TRSW   12.43    FREMONT,CA
  323   7556   0        TII  105.35    BOULOGNE,
  323   7556  FF       I2IS    7.03    BOULOGNE,
  324   7205   0        TII  105.35    SAN JOSE,CA
  324   7205  FF       I2IS   11.33    SAN JOSE,CA
  325   2606   0        TII  105.35    NEWARK,NJ
  325   2606  FF       I2IS   11.33    NEWARK,NJ
Host   Node   Slot  Product  Version   Location
  326   4145   3       XCOM  105.10    SEATTLE,WA
  327   7232   1       ACOM  103.01    FOLSOM,CA
